timestamp,floor,room,occupancy,device_usage,temperature,humidity,windspeed,visibility,predicted_appliances
2025-03-10 23:34:00.233452,3,2,1,1,22.12,45.15,5.88,79.3,67.5
2025-03-10 23:34:02.243288,2,1,4,5,19.5,56.28,1.28,96.33,350.0
2025-03-10 23:34:04.251892,1,2,0,2,22.21,62.14,8.7,38.35,145.0
2025-03-10 23:34:06.259877,2,1,4,6,22.86,69.9,7.21,37.88,420.0
2025-03-10 23:34:08.270094,9,3,4,5,27.06,63.55,8.91,64.33,262.5
2025-03-10 23:34:10.277224,10,2,3,5,18.13,43.16,8.33,33.58,250.0
2025-03-10 23:34:12.288014,10,2,1,3,26.5,67.3,8.79,30.24,150.0
2025-03-10 23:34:14.293172,3,5,1,2,29.89,67.25,0.66,76.7,135.0
2025-03-10 23:34:16.303104,8,3,2,3,21.06,68.74,6.07,82.53,165.0
2025-03-10 23:34:18.309735,8,4,1,3,20.99,67.16,2.11,37.63,165.0
2025-03-10 23:34:20.319349,10,1,0,1,24.72,36.89,5.74,25.5,50.0
2025-03-10 23:34:22.327289,6,1,1,3,23.96,49.7,3.31,53.04,180.0
2025-03-10 23:34:24.332964,2,3,1,3,25.31,54.74,2.14,28.75,210.0
2025-03-10 23:34:26.342288,5,4,2,2,21.46,56.29,1.21,61.22,125.0
2025-03-10 23:34:28.348063,6,2,2,3,19.49,32.9,9.2,71.19,180.0
2025-03-10 23:34:30.357902,5,3,4,6,24.19,33.22,6.23,42.59,375.0
2025-03-10 23:34:32.366738,7,5,4,4,23.59,32.34,0.21,37.21,230.0
2025-03-10 23:34:34.376777,3,1,3,3,21.94,53.31,0.69,19.88,202.5
2025-03-10 23:34:36.383991,4,3,2,3,25.09,46.71,2.98,85.57,195.0
2025-03-10 23:34:38.390264,4,1,1,3,23.13,49.84,8.64,69.2,195.0
2025-03-10 23:34:40.398954,2,4,1,1,24.73,67.27,2.06,97.7,70.0
2025-03-10 23:34:42.405539,2,3,1,1,27.27,55.73,5.7,76.54,70.0
2025-03-10 23:34:44.412644,5,2,4,4,20.84,41.86,6.78,90.71,250.0
2025-03-10 23:34:46.421039,7,4,0,2,18.6,40.29,4.77,17.81,115.0
2025-03-10 23:34:48.425937,3,2,2,4,22.71,67.18,8.58,72.33,270.0
2025-03-10 23:34:50.434546,2,2,0,1,25.64,50.51,5.79,33.88,70.0
2025-03-10 23:34:52.442641,2,1,3,3,28.28,48.51,3.99,15.22,210.0
2025-03-10 23:34:54.452393,1,2,0,2,18.27,37.96,6.07,75.36,145.0
2025-03-10 23:34:56.459727,9,4,4,6,27.03,69.93,4.79,69.2,315.0
2025-03-10 23:34:58.471636,9,1,0,2,25.21,35.71,7.33,34.18,105.0
2025-03-10 23:35:00.478314,6,2,0,2,25.66,51.99,6.4,78.03,120.0
2025-03-10 23:35:02.486810,10,5,1,2,29.69,37.13,7.26,48.35,100.0
2025-03-10 23:35:04.496988,10,1,1,2,29.09,68.25,2.22,33.38,100.0
2025-03-10 23:35:06.508441,10,1,3,3,23.36,46.61,1.54,11.3,150.0
2025-03-10 23:35:08.516473,6,1,0,1,20.65,41.53,3.84,29.63,60.0
2025-03-10 23:35:10.523637,1,4,0,2,25.83,30.2,8.39,15.63,145.0
2025-03-10 23:35:12.533550,3,4,1,1,18.07,59.24,3.32,63.31,67.5
2025-03-10 23:35:14.543675,5,4,3,3,22.87,66.78,2.39,82.66,187.5
2025-03-10 23:35:16.553654,7,1,2,3,29.97,42.88,6.34,96.9,172.5
2025-03-10 23:35:18.562924,8,5,4,4,29.68,30.13,7.2,25.62,220.0
2025-03-10 23:35:20.573051,4,3,0,1,22.33,46.2,0.28,55.8,65.0
2025-03-10 23:35:22.581963,3,2,0,1,26.8,45.1,9.02,26.58,67.5
2025-03-10 23:35:24.592002,1,5,1,1,22.34,32.54,6.85,87.05,72.5
2025-03-10 23:35:26.600463,6,4,1,2,28.69,50.86,5.96,20.97,120.0
2025-03-10 23:35:28.608929,9,2,0,2,21.73,49.64,7.27,42.59,105.0
2025-03-10 23:35:30.618760,9,3,2,3,21.29,48.44,7.21,18.19,157.5
2025-03-10 23:35:32.624318,9,1,1,2,21.05,31.58,1.5,32.72,105.0
2025-03-10 23:35:34.632429,3,5,1,2,18.3,40.66,9.56,26.69,135.0
2025-03-10 23:35:36.642184,3,1,2,2,23.22,69.72,5.47,55.88,135.0
2025-03-10 23:35:38.647899,6,5,1,3,29.35,64.26,9.01,84.73,180.0
2025-03-10 23:35:40.658142,10,1,1,1,20.6,47.03,3.5,63.91,50.0
2025-03-10 23:35:42.663480,4,5,0,1,27.23,38.68,1.56,14.27,65.0
2025-03-10 23:35:44.673425,4,5,4,5,21.92,41.65,6.92,13.61,325.0
2025-03-10 23:35:46.682887,9,1,0,1,23.94,61.23,3.39,87.59,52.5
2025-03-10 23:35:48.693250,1,2,1,2,19.1,60.61,1.79,40.12,145.0
2025-03-10 23:35:50.702650,6,3,2,4,29.11,56.53,6.74,40.93,240.0
2025-03-10 23:35:52.711281,10,2,3,5,25.08,69.81,0.34,21.07,250.0
2025-03-10 23:35:54.718664,7,1,2,3,22.75,53.23,8.31,28.11,172.5
2025-03-10 23:35:56.725776,3,2,2,4,29.17,64.13,5.56,38.13,270.0
2025-03-10 23:35:58.735192,9,3,4,6,18.93,43.03,5.16,45.33,315.0
2025-03-10 23:36:00.745075,1,2,0,2,18.77,54.59,8.73,90.48,145.0
2025-03-10 23:36:02.751875,3,1,1,3,23.87,37.16,3.59,76.54,202.5
2025-03-10 23:36:04.760212,1,2,1,1,29.62,31.97,9.99,65.59,72.5
2025-03-10 23:36:06.769142,10,3,4,6,26.5,46.98,3.08,53.05,300.0
2025-03-10 23:36:08.774872,5,1,3,5,28.88,49.39,0.42,58.87,312.5
2025-03-10 23:36:10.783925,7,2,0,2,28.19,58.72,2.71,98.71,115.0
2025-03-10 23:36:12.788820,7,4,0,2,19.5,55.71,4.3,43.7,115.0
2025-03-10 23:36:14.798804,5,2,0,1,27.4,66.09,3.51,21.6,62.5
2025-03-10 23:36:16.807220,5,1,3,4,20.43,58.75,2.94,75.57,250.0
2025-03-10 23:36:18.817548,4,5,1,3,20.88,65.21,7.39,95.43,195.0
2025-03-10 23:36:20.826463,10,5,3,3,29.68,39.63,5.06,73.02,150.0
2025-03-10 23:36:22.848412,4,1,0,2,18.23,67.64,5.19,85.64,130.0
2025-03-10 23:36:24.857321,1,1,2,4,29.13,54.97,6.23,58.47,290.0
2025-03-10 23:36:26.866858,4,5,1,1,29.87,60.37,9.57,32.04,65.0
2025-03-10 23:36:28.875152,6,2,3,5,24.1,41.08,8.24,31.24,300.0
2025-03-10 23:36:30.884485,3,2,0,1,20.08,40.58,9.8,22.83,67.5
2025-03-10 23:36:32.889936,1,4,3,3,23.96,69.92,8.34,84.12,217.5
2025-03-10 23:36:34.899241,7,2,2,2,19.79,66.46,5.5,65.04,115.0
2025-03-10 23:36:36.907791,2,4,1,1,28.71,52.28,4.16,83.59,70.0
2025-03-10 23:36:38.918074,7,5,1,1,25.28,60.89,0.44,25.26,57.5
2025-03-10 23:36:40.928327,7,4,0,1,25.99,50.43,1.53,74.17,57.5
2025-03-10 23:36:42.935083,10,2,0,1,19.52,31.11,0.73,21.36,50.0
2025-03-10 23:36:44.939487,8,1,2,2,26.02,50.96,4.83,53.85,110.0
2025-03-10 23:36:46.948401,4,3,3,4,18.13,40.93,9.93,98.63,260.0
2025-03-10 23:36:48.957017,8,2,3,4,23.81,60.53,6.45,92.73,220.0
2025-03-10 23:36:50.968288,6,1,0,1,26.76,53.63,9.65,66.3,60.0
2025-03-10 23:36:52.976231,3,3,2,3,29.61,64.38,7.15,26.0,202.5
2025-03-10 23:36:54.984196,3,3,4,6,22.14,46.09,8.03,15.38,405.0
2025-03-10 23:36:56.991359,6,4,0,2,25.84,57.09,6.36,69.28,120.0
2025-03-10 23:36:59.001053,5,3,4,5,28.92,55.14,5.37,77.85,312.5
2025-03-10 23:37:01.009830,5,5,0,1,26.33,69.2,1.24,27.0,62.5
2025-03-10 23:37:03.013682,4,2,0,1,26.62,42.42,5.18,48.35,65.0
2025-03-10 23:37:05.019211,2,3,0,2,26.43,48.03,6.93,80.0,140.0
2025-03-10 23:37:07.025690,7,3,3,4,23.99,56.33,3.66,22.35,230.0
2025-03-10 23:37:09.032243,3,3,3,4,29.01,56.51,5.86,64.66,270.0
2025-03-10 23:37:11.039908,9,4,4,6,19.15,60.42,7.22,99.37,315.0
2025-03-10 23:37:13.049003,4,5,1,3,20.15,66.05,0.44,29.59,195.0
2025-03-10 23:37:15.058982,7,4,2,4,18.01,60.03,5.89,77.79,230.0
2025-03-10 23:37:17.064470,7,1,0,2,26.46,53.35,7.16,48.54,115.0
2025-03-10 23:37:19.073273,4,5,1,3,28.01,43.92,0.47,96.72,195.0
2025-03-10 23:37:21.078496,1,4,4,6,22.39,39.14,5.27,10.13,435.0
2025-03-10 23:37:23.086950,1,5,3,5,18.46,52.43,2.67,92.51,362.5
2025-03-10 23:37:25.098700,7,4,3,4,27.66,51.53,8.92,34.49,230.0
2025-03-10 23:37:27.103642,2,2,3,5,26.3,67.37,9.79,66.4,350.0
2025-03-10 23:37:29.108600,2,5,4,4,22.5,44.25,6.32,81.71,280.0
2025-03-10 23:37:31.118863,5,4,4,6,25.5,48.83,2.32,24.42,375.0
2025-03-10 23:37:33.128929,8,4,1,3,28.32,48.07,4.77,45.44,165.0
2025-03-10 23:37:35.138183,8,5,3,4,24.51,39.17,0.89,89.56,220.0
2025-03-10 23:37:37.145618,10,2,1,2,27.42,54.07,4.3,65.72,100.0
2025-03-10 23:37:39.152865,8,3,4,6,26.11,50.52,4.39,12.27,330.0
2025-03-10 23:37:41.156382,3,1,1,2,22.39,31.93,0.6,59.76,135.0
2025-03-10 23:37:43.165370,4,4,3,5,20.78,59.66,6.13,19.88,325.0
2025-03-10 23:37:45.174594,6,1,1,1,18.02,46.54,0.51,79.05,60.0
2025-03-10 23:37:47.181552,1,4,0,1,18.08,51.26,9.57,11.8,72.5
2025-03-10 23:37:49.189755,5,4,1,3,25.58,53.37,9.64,53.03,187.5
2025-03-10 23:37:51.198135,8,3,1,3,22.42,61.56,2.34,20.38,165.0
2025-03-10 23:37:53.207427,5,5,3,4,18.71,62.99,5.43,89.44,250.0
2025-03-10 23:37:55.215863,7,4,4,6,26.62,36.97,0.76,93.4,345.0
2025-03-10 23:37:57.227604,4,5,1,3,26.18,47.41,5.73,48.63,195.0
2025-03-10 23:37:59.235267,7,2,0,2,24.46,59.57,8.55,23.57,115.0
2025-03-10 23:38:01.244882,5,3,2,2,26.55,56.62,7.01,86.19,125.0
2025-03-10 23:54:09.305521,1,2,1,1,26.91,40.09,6.94,86.36,72.5
2025-03-10 23:54:11.317820,2,4,1,1,22.66,45.39,8.38,62.76,70.0
2025-03-10 23:54:13.324313,8,2,0,1,22.24,62.9,1.3,77.83,55.0
2025-03-10 23:54:15.331432,1,1,3,4,19.1,32.4,1.27,16.83,290.0
2025-03-10 23:54:17.338141,7,4,2,3,19.98,34.26,1.78,32.71,172.5
2025-03-10 23:54:19.346984,6,2,3,4,18.93,36.42,8.58,66.51,240.0
2025-03-10 23:54:21.356778,3,4,0,1,29.85,32.15,9.32,91.86,67.5
2025-03-10 23:54:23.365148,7,3,3,3,22.86,59.87,7.25,62.33,172.5
2025-03-10 23:54:25.373698,2,1,3,3,20.01,68.02,5.57,18.89,210.0
2025-03-10 23:54:27.378189,8,3,1,1,22.0,42.31,9.43,16.65,55.0
2025-03-10 23:54:29.383627,8,2,4,5,25.18,57.94,2.2,78.34,275.0
2025-03-10 23:54:31.389089,3,3,2,2,25.68,43.78,8.82,82.44,135.0
2025-03-10 23:54:33.397545,9,5,1,3,28.63,50.95,0.11,34.7,157.5
2025-03-10 23:54:35.403926,6,1,2,3,22.42,46.11,4.47,82.89,180.0
2025-03-10 23:54:37.409370,6,3,4,5,25.1,64.87,0.37,77.48,300.0
2025-03-10 23:54:39.417055,3,3,2,4,19.34,56.87,2.35,66.89,270.0
2025-03-10 23:54:41.425081,6,4,2,4,24.09,53.68,3.06,45.26,240.0
2025-03-10 23:54:43.431764,10,3,3,5,24.49,49.32,9.71,31.38,250.0
2025-03-10 23:54:45.441774,5,3,3,4,20.6,45.48,1.44,77.28,250.0
2025-03-10 23:54:47.448802,1,3,4,5,26.6,60.42,6.1,89.01,362.5
2025-03-10 23:54:49.456500,9,4,4,6,28.74,66.83,4.1,94.55,315.0
2025-03-10 23:54:51.466714,3,5,3,3,20.61,65.24,7.76,63.99,202.5
2025-03-10 23:54:53.470591,8,2,0,2,27.07,46.33,0.03,99.15,110.0
2025-03-10 23:54:55.479956,3,5,3,3,22.45,55.58,2.07,68.58,202.5
2025-03-10 23:54:57.490783,1,4,2,4,27.56,54.01,3.26,57.22,290.0
2025-03-10 23:54:59.496281,8,5,2,4,22.96,48.25,8.87,26.87,220.0
2025-03-10 23:55:01.504242,9,2,2,2,29.24,65.42,4.0,66.44,105.0
2025-03-10 23:55:03.513027,4,5,1,2,29.81,69.69,9.69,99.43,130.0
2025-03-10 23:55:05.524279,5,1,3,3,23.19,62.17,0.08,96.18,187.5
2025-03-10 23:55:07.527666,3,5,0,1,22.36,60.55,0.43,68.35,67.5
2025-03-10 23:55:09.539423,8,3,1,3,21.21,59.07,7.79,27.89,165.0
2025-03-10 23:55:11.546286,9,1,2,4,26.83,53.98,1.81,65.75,210.0
2025-03-10 23:55:13.556672,9,5,4,5,27.28,69.43,4.86,41.44,262.5
2025-03-10 23:55:15.569382,4,3,3,4,24.39,64.78,8.2,18.04,260.0
2025-03-10 23:55:17.586255,6,1,3,3,22.16,36.96,7.91,59.39,180.0
2025-03-10 23:55:19.594196,5,5,4,6,22.36,61.49,7.5,25.19,375.0
2025-03-10 23:55:21.605058,9,4,4,6,23.5,57.16,0.48,86.0,315.0
2025-03-10 23:55:23.615463,2,3,4,4,28.24,36.07,3.97,59.1,280.0
2025-03-10 23:55:25.625024,4,2,2,3,21.16,39.69,1.68,55.69,195.0
2025-03-10 23:55:27.634952,6,1,1,2,25.56,40.49,2.88,99.38,120.0
2025-03-10 23:55:29.651835,3,1,0,1,26.45,59.75,5.86,70.44,67.5
2025-03-10 23:55:31.674538,10,3,1,2,28.49,34.6,7.31,25.16,100.0
2025-03-10 23:55:33.679287,3,1,4,5,18.24,39.23,7.49,25.2,337.5
2025-03-10 23:55:35.684522,5,4,0,1,21.59,67.87,7.1,60.03,62.5
2025-03-10 23:55:37.689723,5,4,0,1,18.86,38.32,7.13,55.96,62.5
2025-03-10 23:55:39.691551,8,4,3,3,22.36,36.35,1.56,37.13,165.0
2025-03-10 23:55:41.700852,1,4,2,3,18.89,56.23,4.41,21.17,217.5
2025-03-10 23:55:43.707663,8,4,1,2,18.82,33.3,1.42,40.65,110.0
2025-03-10 23:55:45.715595,1,1,3,4,21.41,69.23,2.79,81.65,290.0
2025-03-10 23:55:47.723535,10,3,4,5,21.36,54.36,7.03,64.53,250.0
2025-03-10 23:55:49.732129,7,3,3,3,22.09,56.9,6.47,35.83,172.5
2025-03-10 23:55:51.741996,3,1,2,3,21.37,45.23,4.8,97.34,202.5
2025-03-10 23:55:53.751966,1,1,4,4,20.09,61.12,2.36,85.63,290.0
2025-03-10 23:55:55.761426,6,3,2,2,21.34,41.65,2.8,92.24,120.0
2025-03-10 23:55:57.769759,9,1,1,3,21.48,35.16,4.97,72.45,157.5
2025-03-10 23:55:59.779015,10,4,0,1,28.24,39.54,2.02,17.78,50.0
2025-03-10 23:56:01.785839,8,5,0,1,24.06,36.53,0.85,63.99,55.0
2025-03-10 23:56:03.795653,2,5,2,3,21.69,43.3,6.04,11.22,210.0
2025-03-10 23:56:05.806097,10,4,1,1,25.68,49.61,8.23,94.13,50.0
2025-03-10 23:56:07.814805,6,2,0,1,22.45,31.03,3.83,45.68,60.0
2025-03-10 23:56:09.825193,7,5,4,4,29.11,42.86,7.16,76.94,230.0
2025-03-10 23:56:11.830392,2,5,0,2,28.57,55.55,6.68,29.89,140.0
2025-03-10 23:56:13.840115,5,5,2,4,22.62,34.25,3.84,56.42,250.0
2025-03-10 23:56:15.847923,5,4,1,3,23.09,67.49,3.5,14.29,187.5
2025-03-10 23:56:17.858322,7,5,3,4,22.01,48.08,7.89,46.99,230.0
2025-03-10 23:56:19.866838,5,5,4,4,27.72,65.02,6.89,54.62,250.0
2025-03-10 23:56:21.876646,8,1,4,5,20.91,34.97,3.16,14.13,275.0
2025-03-10 23:56:23.886449,9,3,3,4,27.75,49.86,4.03,95.43,210.0
2025-03-10 23:56:25.893271,7,3,2,4,29.99,44.4,0.31,88.63,230.0
2025-03-10 23:56:27.902547,3,5,4,5,29.36,37.39,8.57,41.78,337.5
2025-03-10 23:56:29.908424,5,3,0,1,28.95,68.92,3.5,58.19,62.5
2025-03-10 23:56:31.918115,3,4,3,4,23.47,31.61,4.41,62.97,270.0
2025-03-10 23:56:33.924684,6,2,3,5,24.13,31.53,2.01,17.92,300.0
2025-03-10 23:56:35.934969,6,5,4,6,23.95,39.0,1.7,86.18,360.0
2025-03-10 23:56:37.944108,7,3,0,1,28.23,32.55,8.48,18.61,57.5
2025-03-10 23:56:39.953391,6,1,3,3,19.85,59.79,8.17,27.92,180.0
2025-03-10 23:56:41.962420,8,4,1,2,22.28,42.35,1.74,27.94,110.0
2025-03-10 23:56:43.969108,5,3,1,3,18.38,57.44,2.47,20.08,187.5
2025-03-10 23:56:45.976523,2,1,4,6,19.87,35.73,9.23,19.09,420.0
2025-03-10 23:56:48.001323,8,1,4,6,21.35,58.2,4.99,67.6,330.0
2025-03-10 23:56:50.006344,9,5,2,3,24.5,47.72,7.65,44.57,157.5
2025-03-10 23:56:52.011020,10,2,4,6,29.56,41.73,7.46,45.37,300.0
2025-03-10 23:56:54.016126,4,4,2,4,29.09,32.16,3.27,46.19,260.0
2025-03-10 23:56:56.023539,8,1,2,4,29.71,64.41,2.65,42.03,220.0
2025-03-10 23:56:58.030446,4,2,3,4,26.5,44.17,7.77,18.23,260.0
2025-03-10 23:57:00.040931,6,3,2,3,24.9,58.02,0.85,49.62,180.0
2025-03-10 23:57:02.047843,2,1,4,5,27.95,69.77,5.3,85.2,350.0
2025-03-10 23:57:04.054840,1,1,1,2,27.04,48.11,9.26,23.74,145.0
2025-03-10 23:57:06.061527,1,5,1,2,22.28,35.04,1.83,46.67,145.0
2025-03-10 23:57:08.070306,8,4,2,3,25.34,58.39,5.31,88.97,165.0
2025-03-10 23:57:10.076763,1,5,2,3,22.23,35.07,7.7,86.23,217.5
2025-03-10 23:57:12.083235,10,2,3,3,27.98,68.35,3.45,83.44,150.0
2025-03-10 23:57:14.092871,8,3,4,4,29.23,51.62,1.5,65.36,220.0
2025-03-10 23:57:16.102604,5,5,3,5,24.69,44.49,9.57,15.59,312.5
2025-03-10 23:57:18.112501,3,3,0,2,25.87,45.54,8.61,46.81,135.0
2025-03-10 23:57:20.120071,10,2,3,3,20.27,58.58,4.01,78.81,150.0
2025-03-10 23:57:22.128160,2,2,4,4,28.5,47.83,0.39,87.1,280.0
2025-03-10 23:57:24.138176,2,4,2,2,26.58,44.17,8.03,14.78,140.0
2025-03-10 23:57:26.144717,6,5,0,1,23.53,51.14,3.3,20.28,60.0
2025-03-10 23:57:28.155035,6,1,1,2,24.62,53.54,4.21,98.86,120.0
2025-03-10 23:57:30.163870,5,3,4,6,29.32,30.67,2.08,91.21,375.0
2025-03-10 23:57:32.169995,7,4,2,3,19.09,39.88,2.05,83.62,172.5
2025-03-10 23:57:34.178650,1,5,3,4,23.48,68.17,3.73,47.09,290.0
2025-03-10 23:57:36.188171,7,1,4,5,27.85,57.4,3.44,79.46,287.5
2025-03-10 23:57:38.205727,4,1,1,1,19.31,39.93,7.48,97.26,65.0
2025-03-10 23:57:40.211720,6,5,2,2,21.05,46.45,2.47,54.59,120.0
2025-03-10 23:57:42.220646,4,4,1,3,23.71,41.55,7.5,18.19,195.0
2025-03-10 23:57:44.230006,8,1,1,2,19.87,68.02,3.31,60.33,110.0
2025-03-10 23:57:46.238839,1,3,0,1,22.8,35.21,2.4,68.42,72.5
2025-03-10 23:57:48.244500,9,3,2,4,18.86,50.2,5.67,56.01,210.0
2025-03-10 23:57:50.254680,2,5,0,1,26.91,62.84,2.35,46.33,70.0
2025-03-10 23:57:52.261647,2,1,2,2,20.39,48.93,0.33,27.13,140.0
2025-03-10 23:57:54.271945,6,2,1,2,26.69,67.42,4.72,38.82,120.0
2025-03-10 23:57:56.281245,10,3,1,2,29.98,69.24,0.63,44.11,100.0
2025-03-10 23:57:58.297402,3,4,3,4,24.69,63.46,2.45,86.09,270.0
2025-03-10 23:58:00.307282,9,3,2,2,22.06,60.82,0.59,90.71,105.0
2025-03-10 23:58:02.315072,8,4,1,3,24.95,33.08,9.65,54.6,165.0
2025-03-10 23:58:04.324728,3,3,2,2,29.55,45.48,6.7,21.19,135.0
2025-03-10 23:58:06.333751,4,1,2,3,26.49,68.65,8.74,93.85,195.0
2025-03-10 23:58:08.340902,9,4,0,2,28.74,38.4,3.52,55.84,105.0
2025-03-10 23:58:10.347775,9,5,4,4,20.05,37.51,7.62,50.87,210.0
2025-03-10 23:58:12.355872,2,1,0,2,22.18,49.61,0.28,59.64,140.0
2025-03-10 23:58:14.362951,8,1,0,1,20.15,46.58,2.77,66.56,55.0
2025-03-10 23:58:16.371394,5,5,3,4,22.85,57.08,3.93,40.64,250.0
2025-03-10 23:58:18.380798,1,3,1,3,20.34,54.47,9.46,91.28,217.5
2025-03-10 23:58:20.388459,6,2,2,4,20.53,47.55,9.44,84.96,240.0
2025-03-10 23:58:22.397380,5,1,1,2,28.67,62.44,0.78,79.81,125.0
2025-03-10 23:58:24.405363,1,3,2,4,19.9,52.98,2.26,64.31,290.0
2025-03-10 23:58:26.414205,9,1,0,1,23.12,67.77,2.19,15.96,52.5
2025-03-10 23:58:28.422077,4,2,4,4,22.3,39.45,4.64,74.32,260.0
2025-03-10 23:58:30.430811,3,4,3,4,21.5,41.36,6.11,53.95,270.0
2025-03-10 23:58:32.439197,8,2,0,1,20.74,55.25,2.22,67.65,55.0
2025-03-10 23:58:34.447423,2,3,2,3,29.96,42.88,0.06,16.37,210.0
2025-03-10 23:58:36.455231,6,2,1,2,23.83,50.93,9.82,57.4,120.0
2025-03-10 23:58:38.464654,9,2,1,2,19.5,48.31,2.56,17.28,105.0
2025-03-10 23:58:40.471204,1,3,3,3,21.54,45.01,3.34,34.9,217.5
2025-03-10 23:58:42.479733,9,5,4,5,23.88,54.41,3.45,25.86,262.5
2025-03-10 23:58:44.489841,4,4,2,3,26.43,64.88,8.25,61.17,195.0
2025-03-10 23:58:46.496358,7,5,2,2,22.65,48.8,8.46,31.58,115.0
2025-03-10 23:58:48.504543,3,5,3,3,25.8,60.41,9.22,81.27,202.5
2025-03-10 23:58:50.508883,3,3,1,1,18.99,52.84,8.85,88.91,67.5
2025-03-10 23:58:52.519527,10,4,4,5,22.43,61.1,7.02,93.59,250.0
2025-03-10 23:58:54.529123,8,2,1,1,20.64,38.47,8.26,28.48,55.0
2025-03-10 23:58:56.536897,3,2,3,4,27.41,33.92,3.54,83.06,270.0
2025-03-10 23:58:58.543606,10,5,2,3,20.45,49.1,6.55,97.8,150.0
2025-03-10 23:59:00.550192,10,3,2,3,28.31,36.79,2.57,37.08,150.0
2025-03-10 23:59:02.558778,2,1,0,2,18.71,41.33,8.69,67.21,140.0
2025-03-10 23:59:04.563841,8,3,2,4,20.93,43.59,6.04,79.0,220.0
2025-03-10 23:59:06.571302,9,3,3,3,26.18,33.7,4.74,29.8,157.5
2025-03-10 23:59:08.579450,6,5,2,2,18.04,37.63,8.09,10.89,120.0
